id,etiqueta,grupo,tipo,rango,default,osc,osc_norm,fuentes
sweep.solidHeight,Alto sólido (frac.),sweep,float,0.1 .. 1,0.5,/p/sweep/solidHeight,/pn/sweep/solidHeight,
sweep.solidDuration,Sólido: entrada (s),sweep,float,0.1 .. 6,0.3,/p/sweep/solidDuration,/pn/sweep/solidDuration,
sweep.solidHold,Sólido: se queda (s),sweep,float,0 .. 8,0.8,/p/sweep/solidHold,/pn/sweep/solidHold,
sweep.solidFade,Sólido: se apaga (s),sweep,float,0.05 .. 4,0.5,/p/sweep/solidFade,/pn/sweep/solidFade,
sweep.dirBlue,Sentido azul,sweep,enum,down | up | random,down,/p/sweep/dirBlue,/pn/sweep/dirBlue,
sweep.dirWhite,Sentido blanco,sweep,enum,down | up | random,up,/p/sweep/dirWhite,/pn/sweep/dirWhite,
sweep.dirSolid,Sentido sólido,sweep,enum,down | up | random,random,/p/sweep/dirSolid,/pn/sweep/dirSolid,
sweep.blueColor,Azul,sweep,color,hex #RRGGBB,#0000C8,/p/sweep/blueColor,/pn/sweep/blueColor,
sweep.whiteColor,Blanco,sweep,color,hex #RRGGBB,#C8C8C8,/p/sweep/whiteColor,/pn/sweep/whiteColor,
sweep.avoidRepeat,No repetir bloque,sweep,bool,false | true,true,/p/sweep/avoidRepeat,/pn/sweep/avoidRepeat,
frame.opacity,Marco,frame,float,0 .. 1,0,/p/frame/opacity,/pn/frame/opacity,
frame.thickness,Grosor (px),frame,int,1 .. 60,10,/p/frame/thickness,/pn/frame/thickness,
frame.color,Color,frame,color,hex #RRGGBB,#7A0000,/p/frame/color,/pn/frame/color,
line.opacity,Línea,line,float,0 .. 1,0,/p/line/opacity,/pn/line/opacity,
line.mode,Modo,line,enum,strike | loop,strike,/p/line/mode,/pn/line/mode,
line.width,Ancho (px),line,int,1 .. 20,3,/p/line/width,/pn/line/width,
line.speed,Velocidad (px/s),line,float,0 .. 600,30,/p/line/speed,/pn/line/speed,
line.direction,Sentido,line,int,-1 .. 1,1,/p/line/direction,/pn/line/direction,
line.orientation,Orientación,line,enum,vertical | horizontal,vertical,/p/line/orientation,/pn/line/orientation,
line.strikeTime,Caída (s),line,float,0.02 .. 1,0.12,/p/line/strikeTime,/pn/line/strikeTime,
line.fadeOut,Apagado (s),line,float,0 .. 2,0.3,/p/line/fadeOut,/pn/line/fadeOut,
line.maxLines,Líneas simultáneas,line,int,1 .. 8,1,/p/line/maxLines,/pn/line/maxLines,
line.wrap,Wrap (modo loop),line,bool,false | true,true,/p/line/wrap,/pn/line/wrap,
line.x,Posición,line,float,0 .. 2688,0,/p/line/x,/pn/line/x,
layer3d.opacity,Capa 3D,layer3d,float,0 .. 1,0,/p/layer3d/opacity,/pn/layer3d/opacity,
camera.eyeX,Ojo X (m),camera,float,-4 .. 4,0,/p/camera/eyeX,/pn/camera/eyeX,
camera.eyeY,Ojo Y (m),camera,float,0 .. 3,1,/p/camera/eyeY,/pn/camera/eyeY,
camera.eyeZ,Ojo Z (m),camera,float,1 .. 10,4,/p/camera/eyeZ,/pn/camera/eyeZ,
light.ambient,Ambiente,light,float,0 .. 3,0.32,/p/light/ambient,/pn/light/ambient,
light.ambientColor,Color ambiente,light,color,hex #RRGGBB,#8899BB,/p/light/ambientColor,/pn/light/ambientColor,
light.key,Luz principal,light,float,0 .. 10,3.2,/p/light/key,/pn/light/key,
light.keyColor,Color principal,light,color,hex #RRGGBB,#FFFFFF,/p/light/keyColor,/pn/light/keyColor,
light.keyX,Principal X (m),light,float,-8 .. 8,-2.5,/p/light/keyX,/pn/light/keyX,
light.keyY,Principal Y (m),light,float,0 .. 8,4,/p/light/keyY,/pn/light/keyY,
light.keyZ,Principal Z (m),light,float,-8 .. 8,2.5,/p/light/keyZ,/pn/light/keyZ,
light.fill,Relleno,light,float,0 .. 10,0.8,/p/light/fill,/pn/light/fill,
light.fillColor,Color relleno,light,color,hex #RRGGBB,#4466AA,/p/light/fillColor,/pn/light/fillColor,
floor.opacity,Piso,floor,float,0 .. 1,0,/p/floor/opacity,/pn/floor/opacity,
floor.brightness,Brillo,floor,float,0 .. 1,1,/p/floor/brightness,/pn/floor/brightness,
floor.laneSpacing,Separación carriles (m),floor,float,0.1 .. 3,0.7,/p/floor/laneSpacing,/pn/floor/laneSpacing,
floor.dashLength,Largo dash (m),floor,float,0.05 .. 3,0.385,/p/floor/dashLength,/pn/floor/dashLength,
floor.dashPeriod,Período dash (m),floor,float,0.1 .. 6,1.1,/p/floor/dashPeriod,/pn/floor/dashPeriod,
floor.dashWidth,Ancho dash (m),floor,float,0.01 .. 0.5,0.105,/p/floor/dashWidth,/pn/floor/dashWidth,
floor.dashHeight,Alto dash (m),floor,float,0.002 .. 0.3,0.021,/p/floor/dashHeight,/pn/floor/dashHeight,
floor.scrollSpeed,Avance (m/s),floor,float,-5 .. 5,0.6,/p/floor/scrollSpeed,/pn/floor/scrollSpeed,
floor.revealDuration,Duración aparición (s),floor,float,0.1 .. 20,4,/p/floor/revealDuration,/pn/floor/revealDuration,
floor.fadeFar,Alcance (m),floor,float,5 .. 120,60,/p/floor/fadeFar,/pn/floor/fadeFar,
floor.revealDist,Alcance actual (m),floor,float,0 .. 120,0,/p/floor/revealDist,/pn/floor/revealDist,
box.visible,Aristas,box,float,0 .. 1,0,/p/box/visible,/pn/box/visible,
box.enabled,Límite activo,box,bool,false | true,true,/p/box/enabled,/pn/box/enabled,
box.preset,Posición,box,enum,left | center | right,center,/p/box/preset,/pn/box/preset,
box.x,X (m),box,float,-6 .. 6,0,/p/box/x,/pn/box/x,
box.y,Y (m),box,float,0 .. 4,1.5,/p/box/y,/pn/box/y,
box.z,Z (m),box,float,-5 .. 0,-1.84,/p/box/z,/pn/box/z,
box.width,Ancho (m),box,float,0.5 .. 11,2.6,/p/box/width,/pn/box/width,
box.height,Alto (m),box,float,0.5 .. 8,3,/p/box/height,/pn/box/height,
box.depth,Profundidad (m),box,float,0.5 .. 8,2.6,/p/box/depth,/pn/box/depth,
box.yaw,Giro Y (°),box,float,-180 .. 180,45,/p/box/yaw,/pn/box/yaw,
box.yawSpeed,Giro continuo (°/s),box,float,-90 .. 90,0,/p/box/yawSpeed,/pn/box/yawSpeed,
box.wallStiffness,Rigidez pared,box,float,0 .. 2,0.3,/p/box/wallStiffness,/pn/box/wallStiffness,
box.wallMaxPush,Empuje máximo,box,float,0 .. 40,1,/p/box/wallMaxPush,/pn/box/wallMaxPush,
box.hardClamp,Clamp duro,box,bool,false | true,false,/p/box/hardClamp,/pn/box/hardClamp,
box.wallBounce,Rebote en la pared,box,float,0 .. 1,0.2,/p/box/wallBounce,/pn/box/wallBounce,
box.flicker,Titileo,box,bool,false | true,false,/p/box/flicker,/pn/box/flicker,
box.flickerRate,Titileo (Hz),box,float,0.5 .. 30,8,/p/box/flickerRate,/pn/box/flickerRate,
box.flickerDuty,Titileo duty,box,float,0 .. 1,0.5,/p/box/flickerDuty,/pn/box/flickerDuty,
box.color,Color,box,color,hex #RRGGBB,#FFFFFF,/p/box/color,/pn/box/color,
box.growDuration,Crecer desde la base (s),box,float,0 .. 8,0,/p/box/growDuration,/pn/box/growDuration,
redBlock.opacity,Bloque rojo,redBlock,float,0 .. 1,0,/p/redBlock/opacity,/pn/redBlock/opacity,
redBlock.side,Lado,redBlock,enum,left | right,left,/p/redBlock/side,/pn/redBlock/side,
redBlock.x,X (m),redBlock,float,0 .. 6,3.3,/p/redBlock/x,/pn/redBlock/x,
redBlock.z,Z (m),redBlock,float,-5 .. 0,-1,/p/redBlock/z,/pn/redBlock/z,
redBlock.width,Ancho (m),redBlock,float,0.2 .. 12,3.2,/p/redBlock/width,/pn/redBlock/width,
redBlock.height,Alto (m),redBlock,float,0.2 .. 16,7,/p/redBlock/height,/pn/redBlock/height,
redBlock.y,Centro Y (m),redBlock,float,-4 .. 6,1.5,/p/redBlock/y,/pn/redBlock/y,
redBlock.yaw,Giro (°),redBlock,float,-90 .. 90,20,/p/redBlock/yaw,/pn/redBlock/yaw,
redBlock.color,Color,redBlock,color,hex #RRGGBB,#B00000,/p/redBlock/color,/pn/redBlock/color,
redBlock.attract,Atracción,redBlock,float,0 .. 400,0,/p/redBlock/attract,/pn/redBlock/attract,
redBlock.attractRadius,Radio atracción (m),redBlock,float,0.2 .. 12,5,/p/redBlock/attractRadius,/pn/redBlock/attractRadius,
redBlock.attractDir,Dirección vs. punto,redBlock,float,0 .. 1,1,/p/redBlock/attractDir,/pn/redBlock/attractDir,
redBlock.attractPulse,Pulso de la fuerza,redBlock,float,0 .. 2,0,/p/redBlock/attractPulse,/pn/redBlock/attractPulse,
redBlock.attractPulseRate,Pulso (Hz),redBlock,float,0.2 .. 30,2,/p/redBlock/attractPulseRate,/pn/redBlock/attractPulseRate,
redBlock.vibrate,Vibración (m),redBlock,float,0 .. 0.8,0,/p/redBlock/vibrate,/pn/redBlock/vibrate,
redBlock.vibrateRate,Vibración (Hz),redBlock,float,0.5 .. 40,17,/p/redBlock/vibrateRate,/pn/redBlock/vibrateRate,
redBlock.flicker,Titileo del rojo,redBlock,float,0 .. 1,0,/p/redBlock/flicker,/pn/redBlock/flicker,
redBlock.flickerRate,Titileo (Hz),redBlock,float,0.2 .. 30,9,/p/redBlock/flickerRate,/pn/redBlock/flickerRate,
orb.opacity,Orbe,orb,float,0 .. 1,0,/p/orb/opacity,/pn/orb/opacity,
orb.color,Color,orb,color,hex #RRGGBB,#66E0FF,/p/orb/color,/pn/orb/color,
orb.pull,Atracción,orb,float,0 .. 300,90,/p/orb/pull,/pn/orb/pull,
orb.radius,Radio atracción (m),orb,float,0.3 .. 8,3.2,/p/orb/radius,/pn/orb/radius,
orb.light,Luz,orb,float,0 .. 60,22,/p/orb/light,/pn/orb/light,
orb.lightRange,Alcance de la luz (m),orb,float,0.5 .. 14,6,/p/orb/lightRange,/pn/orb/lightRange,
orb.darken,Apagado de los palitos,orb,float,0 .. 1,1,/p/orb/darken,/pn/orb/darken,
orb.darkenRadius,Radio del apagado (m),orb,float,0.3 .. 8,2,/p/orb/darkenRadius,/pn/orb/darkenRadius,
orb.darkenJitter,Dispersión del apagado,orb,float,0 .. 1,0.5,/p/orb/darkenJitter,/pn/orb/darkenJitter,
orb.core,Núcleo visible,orb,float,0 .. 1,1,/p/orb/core,/pn/orb/core,
orb.size,Tamaño del núcleo (m),orb,float,0.02 .. 1,0.16,/p/orb/size,/pn/orb/size,
orb.bloom,Bloom,orb,float,0 .. 1,1,/p/orb/bloom,/pn/orb/bloom,
orb.x,Centro X (m),orb,float,-5 .. 5,0,/p/orb/x,/pn/orb/x,
orb.y,Centro Y (m),orb,float,0 .. 5,1.5,/p/orb/y,/pn/orb/y,
orb.z,Centro Z (m),orb,float,-5 .. 0,-1.8,/p/orb/z,/pn/orb/z,
orb.travelX,Paseo X (m),orb,float,0 .. 5,2.8,/p/orb/travelX,/pn/orb/travelX,
orb.travelY,Paseo Y (m),orb,float,0 .. 3,0.7,/p/orb/travelY,/pn/orb/travelY,
orb.travelZ,Paseo Z (m),orb,float,0 .. 3,1.1,/p/orb/travelZ,/pn/orb/travelZ,
orb.travelRate,Paseo (Hz),orb,float,0.01 .. 1,0.09,/p/orb/travelRate,/pn/orb/travelRate,
orb.attack,Ataque (s),orb,float,0 .. 1.5,0.15,/p/orb/attack,/pn/orb/attack,
orb.decay,Caída (s),orb,float,0.1 .. 12,3,/p/orb/decay,/pn/orb/decay,
orb.push,Empujón al soltar,orb,float,0 .. 1.5,0.8,/p/orb/push,/pn/orb/push,
orb.auto,Automático (Hz),orb,float,0 .. 2,0,/p/orb/auto,/pn/orb/auto,
debris.opacity,Esquirlas,debris,float,0 .. 1,0,/p/debris/opacity,/pn/debris/opacity,
debris.count,Por impacto,debris,int,0 .. 300,60,/p/debris/count,/pn/debris/count,
debris.size,Tamaño (m),debris,float,0.01 .. 0.3,0.06,/p/debris/size,/pn/debris/size,
debris.speed,Velocidad (m/s),debris,float,0 .. 40,11,/p/debris/speed,/pn/debris/speed,
debris.lifetime,Duración (s),debris,float,0.05 .. 10,0.35,/p/debris/lifetime,/pn/debris/lifetime,
debris.fadeFraction,Fracción de fade,debris,float,0.05 .. 1,1,/p/debris/fadeFraction,/pn/debris/fadeFraction,
debris.spread,Apertura (0=vertical),debris,float,0 .. 1,0.7,/p/debris/spread,/pn/debris/spread,
debris.drag,Frenado (1/s),debris,float,0 .. 30,6,/p/debris/drag,/pn/debris/drag,
debris.floorCollision,Choca con el piso,debris,bool,false | true,false,/p/debris/floorCollision,/pn/debris/floorCollision,
debris.gravity,Gravedad,debris,float,0 .. 20,0,/p/debris/gravity,/pn/debris/gravity,
debris.bounce,Rebote,debris,float,0 .. 1,0.4,/p/debris/bounce,/pn/debris/bounce,
debris.friction,Fricción,debris,float,0 .. 1,0.9,/p/debris/friction,/pn/debris/friction,
rays.enabled,Rayos,rays,bool,false | true,false,/p/rays/enabled,/pn/rays/enabled,
rays.opacity,Opacidad,rays,float,0 .. 1,0,/p/rays/opacity,/pn/rays/opacity,
rays.fallSpeed,Velocidad (m/s),rays,float,0.5 .. 30,6,/p/rays/fallSpeed,/pn/rays/fallSpeed,
rays.length,Largo (m),rays,float,0.1 .. 4,0.8,/p/rays/length,/pn/rays/length,
rays.width,Ancho (m),rays,float,0.002 .. 0.5,0.042,/p/rays/width,/pn/rays/width,
rays.lightIntensity,Luz del rayo,rays,float,0 .. 30,8,/p/rays/lightIntensity,/pn/rays/lightIntensity,
rays.lightRange,Alcance de luz (m),rays,float,0.1 .. 6,2.6,/p/rays/lightRange,/pn/rays/lightRange,
rays.startY,Altura inicial (m),rays,float,3 .. 8,4.5,/p/rays/startY,/pn/rays/startY,
rays.zMin,Z mínimo (m),rays,float,-5 .. 0,-2.5,/p/rays/zMin,/pn/rays/zMin,
rays.zMax,Z máximo (m),rays,float,-5 .. 0,-0.5,/p/rays/zMax,/pn/rays/zMax,
rays.repelRadius,Radio repulsión (m),rays,float,0.1 .. 5,2.2,/p/rays/repelRadius,/pn/rays/repelRadius,
rays.repelStrength,Fuerza repulsión,rays,float,0 .. 400,70,/p/rays/repelStrength,/pn/rays/repelStrength,
rays.impactRadius,Radio impacto (m),rays,float,0.1 .. 6,3.6,/p/rays/impactRadius,/pn/rays/impactRadius,
rays.impactStrength,Fuerza impacto,rays,float,0 .. 400,160,/p/rays/impactStrength,/pn/rays/impactStrength,
rays.impactTime,Duración del impacto (s),rays,float,0.1 .. 1.5,0.55,/p/rays/impactTime,/pn/rays/impactTime,
rays.bloom,Bloom,rays,float,0 .. 4,1,/p/rays/bloom,/pn/rays/bloom,
rays.color,Color,rays,color,hex #RRGGBB,#FFFFFF,/p/rays/color,/pn/rays/color,
particles.opacity,Partículas,particles,float,0 .. 1,0,/p/particles/opacity,/pn/particles/opacity,
particles.count,Cantidad,particles,int,4096 .. 524288,131072,/p/particles/count,/pn/particles/count,
particles.fraction,Fracción de palitos,particles,float,0.02 .. 1,1,/p/particles/fraction,/pn/particles/fraction,
particles.baseColor,Color base,particles,color,hex #RRGGBB,#FF0000,/p/particles/baseColor,/pn/particles/baseColor,
particles.altColor,Color alterno,particles,color,hex #RRGGBB,#0000FF,/p/particles/altColor,/pn/particles/altColor,
particles.blackChance,Probabilidad mitad negra,particles,float,0 .. 1,0,/p/particles/blackChance,/pn/particles/blackChance,
particles.blackHalf,Mitad negra activa,particles,bool,false | true,false,/p/particles/blackHalf,/pn/particles/blackHalf,
particles.blackSeed,Selección negra,particles,int,0 .. 65535,0,/p/particles/blackSeed,/pn/particles/blackSeed,
particles.blackAllChance,Probabilidad negro total,particles,float,0 .. 1,0.22,/p/particles/blackAllChance,/pn/particles/blackAllChance,
particles.blackAll,Negro total activo,particles,bool,false | true,false,/p/particles/blackAll,/pn/particles/blackAll,
particles.whiteEnabled,Blanco por velocidad,particles,bool,false | true,true,/p/particles/whiteEnabled,/pn/particles/whiteEnabled,
particles.whiteSpeedMin,Blanco desde,particles,float,0 .. 20,2,/p/particles/whiteSpeedMin,/pn/particles/whiteSpeedMin,
particles.whiteSpeedMax,Blanco hasta,particles,float,0 .. 40,7,/p/particles/whiteSpeedMax,/pn/particles/whiteSpeedMax,
particles.size,Tamaño,particles,float,0.5 .. 6,2,/p/particles/size,/pn/particles/size,
particles.length,Largo,particles,float,0.02 .. 4,1,/p/particles/length,/pn/particles/length,
particles.speed,Velocidad sim,particles,float,0 .. 2,0.8,/p/particles/speed,/pn/particles/speed,
particles.turbulence,Turbulencia,particles,float,0 .. 2,0.6,/p/particles/turbulence,/pn/particles/turbulence,
particles.turbulenceScale,Escala turbulencia,particles,float,0.005 .. 0.05,0.015,/p/particles/turbulenceScale,/pn/particles/turbulenceScale,
particles.turbulenceSpeed,Vel. turbulencia,particles,float,0 .. 2,0.5,/p/particles/turbulenceSpeed,/pn/particles/turbulenceSpeed,
particles.density,Densidad,particles,float,0.15 .. 2,0.4,/p/particles/density,/pn/particles/density,
particles.stiffness,Rigidez,particles,float,0.5 .. 10,3,/p/particles/stiffness,/pn/particles/stiffness,
particles.viscosity,Viscosidad,particles,float,0.01 .. 0.4,0.1,/p/particles/viscosity,/pn/particles/viscosity,
particles.gravityY,Gravedad Y,particles,float,-1 .. 1,0,/p/particles/gravityY,/pn/particles/gravityY,
particles.bloom,Bloom,particles,float,0 .. 1,1,/p/particles/bloom,/pn/particles/bloom,
particles.raysOnly,Iluminar sólo con rayos,particles,bool,false | true,false,/p/particles/raysOnly,/pn/particles/raysOnly,
particles.ageGrow,Crecer con la edad (s),particles,float,0.05 .. 6,1.2,/p/particles/ageGrow,/pn/particles/ageGrow,
particles.sizeJitter,Variación de tamaño,particles,float,0 .. 1,0.45,/p/particles/sizeJitter,/pn/particles/sizeJitter,
particles.taper,Punta (cola más fina),particles,float,0 .. 0.95,0.55,/p/particles/taper,/pn/particles/taper,
particles.headTail,Degradado cabeza/cola,particles,float,0 .. 1,0.5,/p/particles/headTail,/pn/particles/headTail,
particles.whiteJitter,Dispersión del blanco,particles,float,0 .. 2,0.7,/p/particles/whiteJitter,/pn/particles/whiteJitter,
particles.roughness,Rugosidad,particles,float,0 .. 1,0.55,/p/particles/roughness,/pn/particles/roughness,
particles.metalness,Metalicidad,particles,float,0 .. 1,0,/p/particles/metalness,/pn/particles/metalness,
particles.emissive,Emisión propia,particles,float,0 .. 2,0.08,/p/particles/emissive,/pn/particles/emissive,
particles.speedSmooth,Suavizado de velocidad (1/s),particles,float,0.5 .. 40,6,/p/particles/speedSmooth,/pn/particles/speedSmooth,
particles.turnRate,Giro del palito (1/s),particles,float,0.5 .. 40,8,/p/particles/turnRate,/pn/particles/turnRate,
particles.flicker,Titileo,particles,float,0 .. 1,0,/p/particles/flicker,/pn/particles/flicker,
particles.flickerRate,Titileo (Hz),particles,float,0.1 .. 40,9,/p/particles/flickerRate,/pn/particles/flickerRate,
particles.birthTime,Nacimiento (s),particles,float,0 .. 8,0,/p/particles/birthTime,/pn/particles/birthTime,
particles.birthAxis,Eje del nacimiento,particles,enum,y | x | z | radial,y,/p/particles/birthAxis,/pn/particles/birthAxis,
particles.birthSpread,Desorden del frente,particles,float,0 .. 1,0.35,/p/particles/birthSpread,/pn/particles/birthSpread,
particles.flowX,Flujo X,particles,float,-3 .. 3,0,/p/particles/flowX,/pn/particles/flowX,
particles.flowY,Flujo Y,particles,float,-3 .. 3,0,/p/particles/flowY,/pn/particles/flowY,
particles.flowZ,Flujo Z,particles,float,-3 .. 3,0,/p/particles/flowZ,/pn/particles/flowZ,
particles.drag,Rozamiento,particles,float,0 .. 1,0,/p/particles/drag,/pn/particles/drag,
particles.wrapMode,Emisión continua,particles,enum,off | vertical | horizontal | radial,off,/p/particles/wrapMode,/pn/particles/wrapMode,
